reference_id,source,private_activity_id,activity_type,source_start_time_s,source_end_time_s,montage_start_frame,montage_end_frame,start_time_s,end_time_s
reference_001,object_handling,245,person_carries_heavy_object,206.033,213.767,11581,11813,386.033,393.767
reference_001,object_handling,246,person_carries_heavy_object,212.8,218.767,11784,11963,392.8,398.767
reference_001,object_handling,763,person_picks_up_object,212.9,213.767,11787,11813,392.9,393.767
reference_001,object_handling,828,person_puts_down_object,217.567,218.2,11927,11946,397.567,398.2
reference_002,object_handling,54,person_carries_heavy_object,1.933,11.6,58,348,1.933,11.6
reference_002,object_handling,53,person_picks_up_object,2.1,2.8,63,84,2.1,2.8
reference_002,object_handling,55,person_puts_down_object,10.033,10.7,301,321,10.033,10.7
reference_003,vehicle_access,3744358903971357832,person_opens_vehicle_door,129.633,132.2,9289,9366,309.633,312.2
reference_003,vehicle_access,2315727578358915935,person_enters_vehicle,129.633,136.067,9289,9482,309.633,316.067
reference_003,vehicle_access,2752651948209349337,person_closes_vehicle_door,134.067,136.067,9422,9482,314.067,316.067
reference_004,object_handling,308,person_carries_heavy_object,252.3,255.433,14769,14863,492.3,495.433
reference_004,object_handling,777,person_picks_up_object,252.9,253.667,14787,14810,492.9,493.667
reference_004,object_handling,778,person_puts_down_object,254.7,255.333,14841,14860,494.7,495.333
reference_005,object_handling,701,person_picks_up_object,87.4,88.1,4422,4443,147.4,148.1
reference_005,object_handling,352,person_carries_heavy_object,87.4,103.867,4422,4916,147.4,163.867
reference_005,object_handling,75,person_puts_down_object,102.433,103.1,4873,4893,162.433,163.1
reference_006,vehicle_access,5850919956404445797,person_enters_vehicle,225.267,233.2,13958,14196,465.267,473.2
reference_006,vehicle_access,8233476742903801650,person_closes_vehicle_door,230.967,233.2,14129,14196,470.967,473.2
reference_007,object_handling,723,person_picks_up_object,166.433,167.233,8593,8617,286.433,287.233
reference_007,object_handling,160,person_carries_heavy_object,166.433,171.4,8593,8742,286.433,291.4
reference_007,object_handling,161,person_puts_down_object,170.333,171.0,8710,8730,290.333,291.0
reference_008,object_handling,787,person_picks_up_object,291.433,292.2,15943,15966,531.433,532.2
reference_008,object_handling,206,person_carries_heavy_object,291.433,293.967,15943,16019,531.433,533.967
reference_008,object_handling,788,person_puts_down_object,293.233,293.967,15997,16019,533.233,533.967
reference_009,object_handling,626,person_picks_up_object,131.067,131.867,7532,7556,251.067,251.867
reference_009,object_handling,394,person_carries_heavy_object,131.067,141.067,7532,7832,251.067,261.067
reference_009,object_handling,627,person_puts_down_object,140.067,141.067,7802,7832,260.067,261.067
reference_010,object_handling,610,person_picks_up_object,66.0,67.2,3780,3816,126.0,127.2
reference_010,object_handling,444,person_carries_heavy_object,66.0,78.3,3780,4149,126.0,138.3
